Name,team,season,position,dateOfBirth,Age,Matches,rating_points,cp_ratio
Aaron Black,North Melbourne,2012,KEY_FORWARD,1990-11-29,22,3,7.233333333333333,0.6086956521739131
Aaron Cornelius,Brisbane Lions,2012,KEY_FORWARD,1990-05-29,22,8,7.3125,0.44594594594594594
Aaron Davey,Melbourne,2012,MEDIUM_FORWARD,1983-06-10,29,8,11.3,0.5795454545454546
Aaron Edwards,North Melbourne,2012,MEDIUM_FORWARD,1984-03-02,28,9,6.711111111111111,0.46874999999999994
Aaron Hall,Gold Coast Suns,2012,MEDIUM_FORWARD,1990-11-09,22,8,8.7875,0.2376237623762376
Aaron Joseph,Carlton,2012,MEDIUM_DEFENDER,1989-07-04,23,13,5.338461538461538,0.3870967741935483
Aaron Mullett,North Melbourne,2012,MEDIUM_DEFENDER,1992-02-23,20,6,5.816666666666666,0.19999999999999998
Aaron Sandilands,Fremantle,2012,RUCK,1982-12-06,30,14,11.435714285714285,0.6901408450704225
Aaron Young,Port Adelaide,2012,MEDIUM_FORWARD,1992-12-06,20,12,5.85,0.3939393939393939
Adam Cooney,Western Bulldogs,2012,MIDFIELDER,1985-09-30,27,14,9.471428571428572,0.393103448275862
Adam Goodes,Sydney Swans,2012,MEDIUM_FORWARD,1980-01-08,32,19,13.731578947368421,0.4417177914110429
Adam Kennedy,GWS Giants,2012,MEDIUM_DEFENDER,1992-07-12,20,15,5.073333333333333,0.295
Adam McPhee,Fremantle,2012,MEDIUM_DEFENDER,1982-10-06,30,21,7.828571428571428,0.32080924855491333
Adam Pattison,Hawthorn,2012,RUCK,1986-03-05,NA,NA,NA,NA
Adam Schneider,St Kilda,2012,MEDIUM_FORWARD,1984-05-12,28,8,8.4625,0.25925925925925924
Adam Selwood,West Coast Eagles,2012,MEDIUM_DEFENDER,1984-05-01,28,20,4.79,0.3832116788321168
Adam Tomlinson,GWS Giants,2012,KEY_FORWARD,1993-08-10,19,9,5.2,0.39805825242718446
Adam Treloar,GWS Giants,2012,MIDFIELDER,1993-03-09,19,18,9.166666666666666,0.34426229508196715
Addam Maric,Richmond,2012,MEDIUM_FORWARD,1990-04-18,22,10,3.77,0.25609756097560976
Ahmed Saad,St Kilda,2012,MEDIUM_FORWARD,1989-10-09,23,16,10.9625,0.5094339622641509
Aidan Riley,Adelaide Crows,2012,MIDFIELDER,1991-12-13,21,5,7.88,0.5892857142857143
Alan Didak,Collingwood,2012,MEDIUM_FORWARD,1983-02-15,29,11,6.772727272727273,0.22285714285714286
Alan Toovey,Collingwood,2012,MEDIUM_DEFENDER,1987-03-23,25,22,9.145454545454545,0.4558823529411765
Alex Brown,Sydney Swans,2012,MEDIUM_DEFENDER,1993-09-26,NA,NA,NA,NA
Alex Browne,Essendon,2012,MEDIUM_DEFENDER,1992-08-09,20,6,7.716666666666667,0.34523809523809523
Alex Fasolo,Collingwood,2012,MEDIUM_FORWARD,1992-06-08,20,24,10.516666666666667,0.39839572192513373
Alex Forster,Fremantle,2012,MEDIUM_DEFENDER,1993-07-14,NA,NA,NA,NA
Alex Greenwood,Western Bulldogs,2012,MIDFIELDER,1993-10-24,NA,NA,NA,NA
Alex Johnson,Sydney Swans,2012,MEDIUM_DEFENDER,1992-03-02,20,25,8.984,0.36627906976744184
Alex Rance,Richmond,2012,KEY_DEFENDER,1989-10-09,23,22,10.05,0.3910891089108911
